Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population ages 00-14, total",SP.POP.0014.TO,Finland,FIN,1346634,1328310,1305304,1283079,1260931,1238793,1220277,1204427,1187380,1163957,1133856,1107131,1085779,1066924,1050872,1037047,1023795,1011156,997525,982919,970637,961035,954451,951231,950965,951552,951592,952288,956464,961115,963215,964871,966900,969453,971432,971951,970112,964907,956201,947030,939626,933922,929264,923528,917309,910716,904026,897874,892875,889750,888017,888353,890214,893235,895839,896336,895127,892334,886366,876679,866000,854904,843021,832797
"Population ages 00-14, total",SP.POP.0014.TO,Fragile and conflict affected situations,FCS,96519819,98989166,101502257,104134600,106806938,109489189,112192109,114961252,117824260,120739869,123729121,126866695,130137241,133495226,136938626,140498334,144320386,148150488,151867335,155785945,159587305,163182161,167105462,171295807,175662725,180120567,184490874,188880595,193191791,197633586,202964821,207334323,212416573,218092907,223783687,229094939,234026569,238890593,243686326,248602470,253539634,258572208,264408597,270689139,276803523,283037457,289347517,295743953,302635405,309942412,317390031,324930543,332774091,340838416,348641135,356101262,363433677,370642270,377724558,384811298,391941364,398977819,405211426,412070477
"Population ages 00-14, total",SP.POP.0014.TO,France,FRA,12240581,12383917,12413827,12433841,12465481,12496972,12536189,12575521,12612449,12654482,12697950,12755924,12820536,12863671,12861529,12805107,12705719,12603293,12500257,12390675,12316120,12272534,12239528,12191190,12121182,12045460,11953081,11842103,11739766,11670180,11642461,11696616,11699044,11667960,11612078,11537796,11455919,11380771,11345052,11359738,11401604,11447390,11485624,11520090,11555065,11593672,11636647,11681593,11743903,11825661,11902551,11965869,12026635,12082156,12111630,12103090,12060052,12015918,11977969,11928814,11860183,11772947,11690387,11617021
"Population ages 00-14, total",SP.POP.0014.TO,French Polynesia,PYF,37087,38286,39597,41061,42724,44535,46376,48215,50049,51878,53689,55471,57065,58441,59721,60890,61950,62939,63896,64824,65787,66874,68008,68755,69254,70045,71068,72193,73600,75138,76590,77964,79170,80323,81310,81841,81973,81842,81461,80961,80400,79766,79086,78156,77087,76108,75343,74948,74384,73518,72835,72253,71661,71249,70860,70238,69466,68678,68021,67437,66780,66003,65132,64142
"Population ages 00-14, total",SP.POP.0014.TO,Gabon,GAB,161433,165271,169334,173774,178497,183278,188258,193552,199143,205196,211718,218576,225802,233360,241190,249339,257891,266883,276345,286256,296606,307458,318749,330410,342366,354507,366788,379237,391859,404509,417027,429324,441366,453088,464281,474722,484411,493697,502843,511886,521033,530363,539772,549309,559254,569913,581415,593880,607458,622705,640119,659542,680168,701246,722544,743649,764190,783999,802920,820794,837417,852733,866825,879338
"Population ages 00-14, total",SP.POP.0014.TO,"Gambia, The",GMB,163346,167157,171391,176399,182379,188758,195073,201494,208092,214875,221852,229029,236492,244287,252860,262244,272069,282381,293168,304525,316554,329228,342564,356738,371269,386054,401654,418061,435261,453276,472201,492122,512569,532440,551007,568688,586240,603987,622173,640527,658675,676808,694959,714602,736267,758864,782611,807389,832858,859176,886273,913964,941912,969401,996081,1021911,1046578,1069984,1091677,1111663,1130638,1148432,1165091,1181024
"Population ages 00-14, total",SP.POP.0014.TO,Georgia,GEO,1046158,1084423,1116144,1141549,1161791,1176265,1195354,1221464,1243441,1259272,1262081,1255961,1248216,1237695,1225370,1210302,1195517,1181091,1166582,1156583,1152953,1154139,1158520,1164004,1169686,1176577,1183669,1190204,1198015,1197601,1198383,1210703,1222232,1231682,1210278,1159985,1110623,1065490,1026622,989395,950820,914078,881804,851362,821849,791696,763250,740502,726637,715475,708689,702252,697710,698003,706834,721997,736865,750331,762086,770540,778310,782306,789432,801868
"Population ages 00-14, total",SP.POP.0014.TO,Germany,DEU,15332629,15823436,16269425,16682743,17034212,17344975,17637117,17843512,18012935,18193079,18220024,18150478,18045559,17811867,17446531,16954538,16416228,15885093,15359420,14846937,14387106,13953444,13513923,13092754,12715320,12437428,12284440,12249096,12357141,12574958,12822917,13026218,13175596,13275101,13293459,13251830,13186297,13108188,13014778,12923791,12831415,12709705,12545005,12337187,12110377,11877160,11662211,11495034,11351336,11219314,11119468,10830441,10751064,10698650,10698789,10786446,10926988,11068979,11210224,11333040,11435908,11542029,11696671,11818004
"Population ages 00-14, total",SP.POP.0014.TO,Ghana,GHA,3109271,3232755,3340659,3447256,3549760,3652815,3757497,3861292,3965142,4071981,4187811,4309049,4429640,4548630,4664751,4778095,4888248,5003148,5128703,5264628,5413956,5575687,5749811,5940446,6134398,6322325,6513873,6704388,6885943,7058629,7224724,7385716,7529294,7652051,7759618,7854715,7943295,8026833,8106062,8197982,8314470,8444881,8583909,8730757,8885190,9053814,9232075,9412292,9599918,9801264,10018553,10252204,10499588,10749683,10990165,11218820,11431858,11612905,11777392,11942791,12093914,12231906,12365113,12489711
"Population ages 00-14, total",SP.POP.0014.TO,Gibraltar,GIB,5624,5552,5629,5798,5939,6079,6235,6398,6556,6709,6865,6993,7070,7116,7137,7121,7099,7098,7090,7058,6998,6926,6901,6895,6844,6739,6577,6377,6168,5921,5637,5387,5311,5379,5435,5455,5451,5439,5411,5359,5290,5161,5100,5174,5258,5348,5406,5438,5495,5568,5657,5746,5819,5822,5792,5789,5779,5769,5752,5708,5636,5587,5563,5531
"Population ages 00-14, total",SP.POP.0014.TO,Greece,GRC,2211827,2218360,2214356,2203620,2194411,2192548,2200233,2210866,2216691,2211693,2199184,2189672,2187341,2184096,2182103,2198014,2231028,2256072,2277070,2292845,2297720,2293417,2273706,2247075,2214849,2174962,2130275,2085981,2042289,1999790,1966017,1935183,1897394,1856407,1811748,1764175,1718884,1680384,1647650,1618604,1598183,1586852,1577882,1569511,1564876,1569442,1578276,1585988,1596905,1609916,1619965,1622976,1617144,1605842,1591915,1574493,1560239,1550619,1540280,1530089,1516781,1486054,1446149,1408974
"Population ages 00-14, total",SP.POP.0014.TO,Greenland,GRL,14228,14865,15541,16294,16994,17894,18465,18865,19278,19681,20070,20052,20010,19697,19211,18467,17607,16618,15772,15194,14674,14197,13698,13339,13140,13077,13104,13332,13677,14023,14360,14594,14760,14933,15204,15377,15387,15374,15338,15242,15109,14938,14780,14588,14386,14111,13751,13392,13073,12857,12773,12545,12342,12128,11975,11831,11745,11674,11632,11719,11782,11834,11819,11832
"Population ages 00-14, total",SP.POP.0014.TO,Grenada,GRD,44738,45662,46300,46832,47281,47648,47910,48022,47908,47558,46731,45398,43967,42621,41395,40310,39374,38572,37889,37318,36837,36453,36296,36423,36600,36739,36876,36942,36822,36663,36645,36755,36968,37193,37399,37460,37402,37235,36867,36358,35745,34935,33805,32678,31734,30840,30054,29403,28889,28500,28215,28116,28177,28276,28392,28513,28739,29061,29360,29628,29844,29995,30067,30056
"Population ages 00-14, total",SP.POP.0014.TO,Guam,GUM,28238,28949,29465,29852,30234,30726,31364,32126,32939,33689,34470,35290,35964,36441,36732,36888,37037,37211,37340,37514,38038,38851,39546,40010,40217,40213,40202,40301,40539,40771,41302,42278,43262,44170,44985,45713,46366,46925,47420,47910,48406,48809,49020,49014,48757,48268,47618,46836,45965,45060,44695,44791,44933,45063,45093,45162,45258,45317,45238,45064,44928,44851,44752,44620
"Population ages 00-14, total",SP.POP.0014.TO,Guatemala,GTM,1918470,1977675,2035864,2092623,2149339,2207434,2266652,2326010,2385152,2444615,2504474,2565729,2628459,2692240,2753511,2812161,2872818,2936489,3004365,3077440,3156869,3242387,3336051,3433665,3529567,3625021,3721258,3819169,3918672,4018817,4117848,4215650,4311436,4404260,4498498,4594597,4687820,4777766,4866188,4955130,5051905,5148816,5234400,5305260,5364798,5415985,5460110,5497236,5527923,5552208,5570348,5585408,5597970,5608228,5618208,5629320,5637398,5643025,5648770,5650611,5643923,5634189,5623145,5607531
"Population ages 00-14, total",SP.POP.0014.TO,Guinea,GIN,1367899,1396487,1426887,1459656,1497195,1533080,1564228,1596323,1629553,1663883,1699196,1735524,1772689,1810572,1848993,1887881,1927454,1968120,2010453,2055322,2102540,2151620,2203453,2258248,2315804,2376511,2440772,2509178,2581384,2656615,2758394,2879648,2983158,3085867,3189430,3287181,3387841,3483257,3575573,3667859,3757362,3839308,3918295,3998472,4076993,4155101,4233869,4314187,4396982,4483315,4572927,4662553,4750667,4841821,4937371,5037241,5142124,5248609,5354068,5458119,5560605,5660868,5757403,5848156
"Population ages 00-14, total",SP.POP.0014.TO,Guinea-Bissau,GNB,217869,221592,228069,234070,238671,241494,243442,245476,247871,249618,250956,251872,252327,253092,260509,277432,299865,326720,355774,370968,376031,385352,394806,404103,413011,421421,429354,436902,444176,451247,457800,465810,477316,491123,504244,514158,521543,527981,534486,541500,549270,558062,568063,579338,591579,605014,619763,635461,651347,666954,682570,698744,715520,732507,749158,764934,779705,792898,804646,815706,826151,835872,844621,852565
"Population ages 00-14, total",SP.POP.0014.TO,Guyana,GUY,269316,278685,287646,296041,303781,310799,317055,322549,327348,331561,335293,337791,339017,339656,339719,339271,338345,336966,335098,332609,329322,324363,318076,311683,305308,299049,293004,287268,281983,277312,273271,270496,269701,270078,270735,271627,272724,273947,275217,276392,277302,277798,277764,276397,273605,270005,265313,259773,253904,247822,241653,235546,230900,228723,227782,227146,226835,226872,228580,229880,230167,231014,231411,231589
"Population ages 00-14, total",SP.POP.0014.TO,Haiti,HTI,1565568,1598253,1632905,1669252,1706029,1741872,1776310,1810014,1843140,1875766,1907929,1939594,1971203,2002588,2034997,2070479,2109079,2150674,2194930,2241427,2290449,2342763,2398669,2456810,2516437,2578533,2643422,2710784,2780081,2849628,2917720,2981349,3039442,3093437,3143066,3189061,3231971,3271266,3307620,3341966,3374661,3403459,3426652,3446338,3461884,3475058,3490298,3506681,3523172,3540947,3544576,3548488,3566567,3582706,3597809,3611682,3625857,3642319,3659221,3675405,3690862,3704218,3716029,3727560
"Population ages 00-14, total",SP.POP.0014.TO,Heavily indebted poor countries (HIPC),HPC,70575484,72484347,74468336,76575899,78824449,81147132,83501792,85950108,88513442,91169762,93934951,96806362,99747181,102758643,105847475,109012248,112249863,115490621,118949313,122560723,125769875,128774352,132218906,136003744,139931313,143976795,148038234,152215468,156463208,160878158,165253314,169610598,174619916,180194751,185326829,190316275,195812996,201347581,206757380,212225493,217628878,223098594,229223022,235581300,241726604,248019025,254584574,261279579,268086214,275016552,282041848,289168178,296471082,303934461,311473533,319086611,326821462,334600591,342349910,350106797,357889182,365626486,373291635,380938182
"Population ages 00-14, total",SP.POP.0014.TO,High income,HIC,263679018,267649908,269727341,271066936,272397507,273785043,274082366,273749716,273729409,273528007,272986397,272714545,272019248,270935010,269645044,268142476,266355406,264509140,262621593,260964641,259695405,258993955,258349385,257441446,256480676,255405473,254285493,253398997,252859469,252385008,251623062,251210622,250844685,250209047,249133172,247656258,246057746,244430920,242647409,240757950,238771440,236581664,234283275,232231607,230468970,228755516,227422174,226727733,226689841,226844831,226902471,226859181,227342663,227961708,228615434,229240711,229945063,230492936,230613232,230267472,229700220,227927483,226208006,224694499
"Population ages 00-14, total",SP.POP.0014.TO,Honduras,HND,973366,1009344,1045064,1080290,1115382,1150335,1185283,1220725,1257021,1294432,1333032,1373167,1415128,1458037,1499436,1542198,1588974,1637707,1688134,1740254,1793630,1847994,1903094,1958472,2013520,2067819,2121350,2173921,2227518,2282423,2336240,2388873,2441321,2493790,2545806,2597104,2648058,2699260,2746502,2795051,2848586,2900510,2949847,2995879,3037812,3075154,3107734,3135056,3156730,3173111,3184827,3192174,3195289,3193843,3187669,3178688,3169248,3160578,3153459,3148141,3144533,3142445,3142259,3143628
"Population ages 00-14, total",SP.POP.0014.TO,"Hong Kong SAR, China",HKG,1274656,1313356,1376944,1421492,1445780,1468835,1462436,1476320,1478807,1466035,1457353,1442048,1424205,1416379,1410585,1384153,1347836,1313536,1282563,1301162,1290037,1287550,1286532,1288340,1283804,1280043,1273422,1256521,1236173,1220021,1197833,1185346,1175225,1174582,1177192,1171966,1198379,1187992,1175002,1158568,1136881,1115033,1093238,1059942,1029670,991015,956212,933110,912906,886895,862053,841228,838844,839503,843256,845726,855552,877795,897932,915083,915942,902447,884516,894421
"Population ages 00-14, total",SP.POP.0014.TO,Hungary,HUN,2527906,2521333,2496594,2455523,2412914,2367624,2324590,2291484,2256683,2207071,2153590,2111775,2090750,2087778,2107867,2151792,2200653,2249809,2293783,2327295,2350394,2363354,2362808,2347033,2324986,2305565,2289266,2269820,2244412,2179973,2099069,2043656,1996263,1952135,1912382,1877571,1844529,1812236,1782026,1751229,1717514,1680734,1648584,1621767,1594924,1568697,1543767,1521466,1502936,1486854,1469006,1451477,1435361,1428152,1426330,1425679,1423539,1422289,1421773,1421542,1419331,1413125,1392600,1379053
"Population ages 00-14, total",SP.POP.0014.TO,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population ages 00-14, total",SP.POP.0014.TO,Iceland,ISL,61259,62593,63723,64684,65598,66369,67047,67648,67802,67436,66714,66141,66099,66202,66018,65542,64991,64269,63447,62972,62800,62702,62845,63221,63408,63284,63038,62849,63025,63365,63614,64040,64796,65558,65754,65339,64921,64707,64658,64910,65486,66061,66198,65944,65644,65443,65400,65709,66265,66521,66523,66418,66356,66616,66880,66746,66651,67083,67581,67983,68563,69396,70618,72058
"Population ages 00-14, total",SP.POP.0014.TO,IDA & IBRD total,IBT,922077021,936752668,958388830,988784373,1017991977,1043993332,1069670551,1092941404,1116340560,1141046354,1164995355,1189041885,1211476272,1233867027,1258018929,1281775314,1304816963,1322840007,1333342994,1343739147,1356812876,1371628407,1389980437,1407379753,1422722635,1439012848,1456796405,1476940672,1497350153,1517965647,1540064984,1561020094,1580099129,1598418866,1613876025,1626272945,1636377274,1643227210,1648326823,1652626361,1655501259,1656727110,1656213029,1655656600,1655294091,1654427151,1655879329,1661145199,1669210295,1679282228,1690427762,1702981140,1717613485,1733282420,1748723342,1762799146,1775837796,1788813568,1799821726,1808192722,1813800523,1816794046,1816751191,1815696299
"Population ages 00-14, total",SP.POP.0014.TO,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population ages 00-14, total",SP.POP.0014.TO,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population ages 00-14, total",SP.POP.0014.TO,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population ages 00-14, total",SP.POP.0014.TO,India,IND,180703655,186176468,191752234,197410631,202662755,207262141,211583830,215806472,220113069,224485936,228813995,233205723,237668277,242226936,246929635,251621410,256283882,260929754,265520937,270269035,275362558,280757182,286239853,291753466,297413051,303147852,308918441,314595875,320048218,325342205,330481929,335504756,340506986,345436744,350131218,354497916,358460047,362107706,365499728,368541209,371399589,374160274,376722116,378985211,380871016,382384784,383376618,383911555,384229660,384392935,384325879,383999879,383387682,382437090,380905172,378793176,376404880,373697370,370831170,367825260,364629264,361569242,358634249,355733024
"Population ages 00-14, total",SP.POP.0014.TO,Indonesia,IDN,35130642,36341186,37646629,39047004,40520292,41949283,43350679,44805140,46243020,47645946,49011509,50324429,51580026,52790727,53941946,55031979,56074245,57068641,58035273,58978599,59884425,60737192,61552409,62332248,63042488,63621792,64048278,64391851,64692305,64950957,65136415,65280508,65391641,65436418,65453296,65465063,65491678,65528488,65542404,65516592,65532010,65648481,65793478,65918238,66025443,66209610,66485453,66841217,67264147,67657020,68012093,68381516,68760785,69089024,69381944,69632942,69813148,69926732,69982893,69990363,69918977,69742692,69444207,69056188
"Population ages 00-14, total",SP.POP.0014.TO,"Iran, Islamic Rep.",IRN,9200714,9570683,9933253,10294828,10622109,10917578,11221024,11533012,11850095,12174358,12503372,12827768,13140229,13446595,13765706,14113105,14510578,14963038,15464982,16039676,16684844,17415803,18207622,19011854,19836680,20666608,21483217,22265407,22992931,23649317,24291011,24858633,25231826,25337876,25208762,24924972,24481868,23891888,23195548,22450565,21687314,20935731,20158825,19409546,18756266,18163923,17624053,17174040,16863223,16731948,16780185,16958870,17269546,17694813,18364060,19195759,19816361,20259996,20639091,20867335,20943080,20935552,20867571,20736053
"Population ages 00-14, total",SP.POP.0014.TO,Iraq,IRQ,2801480,2877908,2999313,3146174,3293424,3449323,3607505,3761020,3913941,4075356,4257791,4456672,4680795,4932085,5178557,5417908,5646863,5847190,6029136,6203421,6379309,6555182,6723288,6902659,7094114,7235955,7381008,7548802,7690861,7861163,7921876,7974229,8185888,8563673,8960703,9243562,9517996,9791906,10080040,10382460,10697060,11002939,11317621,11620597,11908960,12206379,12221789,12040506,12190795,12551652,12879921,13282678,13842328,14442005,14883228,15199560,15464039,15699858,15933331,16152257,16378369,16595402,16790798,16986706
"Population ages 00-14, total",SP.POP.0014.TO,Ireland,IRL,875558,872833,871305,872956,880658,890399,896144,899164,901469,907104,917110,929514,943108,958601,975297,990342,1002554,1012725,1022458,1030885,1038604,1046839,1051866,1053121,1049909,1038216,1024535,1010117,990393,970050,952349,938865,926564,911067,891960,871742,855110,842687,833584,828656,826716,826329,828995,836073,845455,856057,870338,892343,917846,941187,962291,979221,989835,995873,1000254,1004394,1008135,1009142,1009790,1009477,1005941,1002263,1004117,1009899
"Population ages 00-14, total",SP.POP.0014.TO,Isle of Man,IMN,9720,9574,9521,9559,9634,9683,9766,9974,10274,10590,10909,11273,11662,12000,12252,12373,12418,12468,12491,12482,12444,12355,12240,12094,11891,11636,11461,11463,11558,11706,11914,12135,12326,12484,12591,12639,12700,12865,13110,13363,13544,13656,13749,13795,13762,13657,13604,13664,13761,13868,13973,14001,13930,13802,13632,13466,13332,13212,13086,12932,12738,12557,12397,12191
"Population ages 00-14, total",SP.POP.0014.TO,Israel,ISR,735531,756622,786775,807348,830351,851652,866497,896674,908592,929543,961971,996083,1024141,1068305,1103551,1130960,1159262,1187621,1211812,1240523,1266504,1287602,1308159,1329034,1342503,1359024,1369247,1379731,1391018,1400760,1428615,1500112,1536252,1561633,1586326,1613546,1643688,1673852,1699413,1730191,1765126,1796809,1825881,1854438,1883015,1911791,1941622,1976598,2016542,2071720,2118324,2164529,2210715,2257486,2304661,2357410,2413370,2465631,2511302,2557927,2602098,2639906,2682711,2726180
"Population ages 00-14, total",SP.POP.0014.TO,Italy,ITA,12555024,12610318,12587954,12578625,12635914,12742734,12860048,12990759,13113589,13219799,13294637,13331043,13381086,13447985,13487199,13469413,13393259,13272294,13094399,12846346,12544009,12215774,11895064,11592069,11274526,10955568,10628909,10291323,9975551,9669804,9381656,8995888,8680236,8553129,8438711,8346923,8278990,8229429,8186481,8153810,8129805,8106469,8107851,8128015,8155317,8187096,8206679,8235532,8283630,8327722,8350902,8346294,8343689,8404363,8424964,8342593,8238537,8130769,8009572,7799976,7642651,7481434,7326442,7167914
"Population ages 00-14, total",SP.POP.0014.TO,Jamaica,JAM,680177,697504,713703,730343,749229,768222,785365,801978,817775,832047,845001,855368,863093,868801,872465,873057,871276,870377,869889,868652,867557,867164,867268,868629,870694,872067,872209,871162,869823,868934,867901,868000,872378,879310,885648,890452,891853,890463,887752,882399,872661,859941,846744,833532,820743,808773,796758,781816,764206,746239,727430,709824,694051,677989,662489,650355,640310,628809,615717,601419,587587,574011,560945,548920
"Population ages 00-14, total",SP.POP.0014.TO,Japan,JPN,27493397,27347642,26835246,26009547,25205548,24663501,24217677,23965568,24009634,24141920,24333092,24862420,25314562,25823134,26288932,26686321,26955002,27118851,27184739,27140621,26978492,26917514,26759546,26371736,25980900,25535938,24980234,24327904,23589549,22813037,22070284,21438200,20887913,20384722,19944347,19562139,19240525,18973055,18722896,18463330,18230489,18057111,17897800,17734692,17568561,17434426,17323931,17233947,17147195,17027903,16905743,16756081,16598820,16443186,16283609,16113192,15941793,15745852,15522442,15287198,15044891,14797709,14542937,14280675
"Population ages 00-14, total",SP.POP.0014.TO,Jordan,JOR,387996,413107,438135,463908,493265,529512,573438,624091,678789,732680,781766,824413,861207,894271,925162,954498,982365,1009949,1038023,1067551,1100963,1138737,1180388,1225375,1272932,1322782,1374667,1428124,1483529,1542566,1593992,1636934,1682950,1732329,1784055,1835614,1884983,1930503,1970946,2006942,2039271,2068535,2097011,2126701,2159252,2193720,2324131,2452467,2486716,2514232,2540132,2574539,2580636,2729040,3057856,3329804,3457882,3506990,3548851,3583980,3612870,3635351,3622111,3571529
"Population ages 00-14, total",SP.POP.0014.TO,Kazakhstan,KAZ,3491177,3699454,3862289,4002454,4120667,4220385,4306206,4379569,4439055,4481687,4509529,4522175,4522516,4514242,4498870,4480090,4460564,4448883,4447044,4457531,4484245,4528246,4591817,4674835,4773389,4877382,4989003,5105773,5216675,5158123,5186154,5202465,5176101,5131219,5031223,4899190,4759526,4583797,4395050,4259683,4160674,4047061,3934086,3838603,3772268,3733649,3724192,3745340,3821703,3923407,4019014,4134698,4268719,4415125,4572667,4736943,4902225,5060754,5209185,5348629,5484992,5667708,5824865,5897362
"Population ages 00-14, total",SP.POP.0014.TO,Kenya,KEN,3781404,3953396,4134961,4322370,4512759,4727296,4965881,5206683,5448387,5690780,5933217,6174335,6413514,6650921,6888552,7128547,7370233,7614757,7864923,8121921,8385170,8656552,8937935,9227478,9525996,9833428,10147576,10468596,10793827,11117174,11432994,11733070,12017115,12288519,12550240,12808388,13063214,13317442,13581861,13857964,14145112,14450803,14769317,15096219,15440708,15810069,16208960,16637522,17089299,17545622,17973143,18353069,18693482,18992542,19249052,19475582,19687393,19874839,20019709,20143481,20260426,20351588,20428567,20508678
"Population ages 00-14, total",SP.POP.0014.TO,Kiribati,KIR,20324,21006,21684,22322,22913,23495,24012,24450,24875,25297,25729,26162,26567,26868,26768,26315,25835,25374,24918,24706,24752,24831,24973,25208,25572,26108,26829,27681,28592,29528,30436,31285,32065,32767,33362,33892,34417,34906,35338,35698,36000,36389,36809,37128,37458,37872,38192,38401,38687,39019,39321,39676,40113,40553,41033,41599,42280,43070,43958,44871,45769,46615,47346,47941
"Population ages 00-14, total",SP.POP.0014.TO,"Korea, Dem. People's Rep.",PRK,4412286,4459327,4512419,4609729,4738967,4872188,5073948,5362303,5637475,5864160,6059771,6236266,6376943,6445561,6479621,6508001,6515745,6499149,6449180,6387008,6324525,6249450,6141867,6019177,5905824,5796627,5700467,5605731,5539902,5527340,5544497,5595629,5675438,5766064,5855779,5920526,5956997,5980218,5992481,5993858,5979578,5950103,5906464,5862266,5823583,5772791,5703802,5622783,5538069,5454193,5361842,5263763,5178016,5107641,5050933,5008090,4973539,4946886,4930739,4921482,4918275,4921232,4926584,4930031
"Population ages 00-14, total",SP.POP.0014.TO,"Korea, Rep.",KOR,10482620,10885524,11300131,11722210,12121529,12502595,12855800,13120426,13344474,13537833,13653241,13717537,13780839,13788710,13739620,13647298,13503906,13349833,13200807,13086978,13014679,12955866,12910382,12831091,12656837,12394542,12104823,11816242,11550722,11312906,11113281,10956271,10831550,10726246,10607394,10446659,10270224,10117468,9982200,9893800,9866965,9835645,9751458,9638951,9488144,9283751,9071355,8830822,8604013,8362599,8126877,7890580,7630781,7400735,7212051,7025426,6847784,6702659,6582066,6446539,6306612,6156618,5979365,5809946
"Population ages 00-14, total",SP.POP.0014.TO,Kosovo,XKX,435007,450012,464133,476509,486207,493663,500396,507103,514333,522526,531058,540848,554231,569107,583889,598286,612146,625043,635820,645222,656728,669133,681392,694877,707634,719348,729162,735319,737484,738176,740729,745180,746320,743306,739233,734929,731295,728009,708887,676983,654169,636914,614170,587806,564226,543603,527571,517252,510403,505297,501891,497050,488590,485260,480118,464296,447283,437620,428003,415867,405262,392962,377128,362132
"Population ages 00-14, total",SP.POP.0014.TO,Kuwait,KWT,113876,128496,145274,164050,184325,206128,231585,261156,293074,326260,358524,386815,411923,436927,462484,489258,515427,540878,567647,595291,623289,648014,670170,693574,718312,742838,773789,811057,844608,873076,650570,498995,587032,569947,540096,535619,544319,551346,554827,555743,554958,553331,551612,550136,548625,556367,577924,603841,629145,652932,677697,713605,757986,800718,822251,848550,874076,887118,912785,925284,914573,897630,884303,867487
"Population ages 00-14, total",SP.POP.0014.TO,Kyrgyz Republic,KGZ,835150,887134,932018,975631,1017718,1052757,1084264,1113447,1141079,1166107,1187134,1208197,1230935,1251474,1271080,1288255,1303907,1318533,1331872,1346361,1361539,1379844,1403321,1431430,1459653,1486377,1516002,1548097,1579339,1617303,1656233,1690984,1719482,1734444,1740122,1752911,1768811,1775418,1776665,1771602,1758093,1737665,1713699,1691300,1672144,1654873,1642168,1635211,1636738,1649815,1670775,1701179,1747657,1805534,1867505,1934006,2001223,2065597,2132828,2201863,2260407,2334424,2402579,2435647
"Population ages 00-14, total",SP.POP.0014.TO,Lao PDR,LAO,890780,913080,935732,959250,985178,1010348,1033395,1057487,1082721,1109139,1136951,1166013,1196253,1227718,1260194,1293153,1325708,1357492,1388745,1420289,1453218,1488043,1525046,1564358,1605994,1649734,1695436,1743017,1792231,1842948,1895138,1948934,2003879,2059321,2113452,2164339,2211509,2248783,2275408,2297051,2314497,2327601,2335501,2337247,2332558,2322933,2310810,2298503,2287633,2279330,2273197,2268102,2263588,2258168,2250478,2248626,2255329,2265059,2276316,2287091,2296412,2303010,2307198,2310247
"Population ages 00-14, total",SP.POP.0014.TO,Late-demographic dividend,LTE,428653709,428313406,434589910,449282519,463014975,474183282,485190686,493633561,502060932,511757661,520802958,530165661,537709940,544663763,553191088,561350368,568664918,570741083,564899714,558241433,553776736,550586431,550148106,548347664,544209075,540878245,539277879,540230696,541869857,543902364,547652462,550947923,552444418,553087974,552280342,549685532,545391811,538817845,531610923,524272626,515539390,504989307,492241471,479561581,467582527,455183048,445254399,439260371,435362075,432907869,431144785,430345577,431499784,433666851,436143169,438047335,439793673,442412096,443599815,442716006,439691919,434452259,427496980,419521691
