Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population ages 00-14, total",SP.POP.0014.TO,Cyprus,CYP,213844,216514,215480,213829,211857,209933,208252,206581,204567,201985,198745,194869,190445,186674,183450,179815,176690,174236,172148,170677,169951,170007,171862,176024,180627,184376,187400,189891,192065,194025,195727,197038,198780,203282,208764,212205,213965,214432,213950,212770,211051,209420,209210,209472,208505,206427,203527,200228,196943,193988,191592,190296,190167,190287,190555,191349,192677,194173,195524,196892,198080,198843,199351,199642
"Population ages 00-14, total",SP.POP.0014.TO,Czechia,CZE,2461129,2409098,2355634,2313447,2289746,2266289,2234015,2197881,2163812,2135945,2102876,2079366,2082756,2108753,2161392,2225418,2285592,2338201,2379133,2406494,2417167,2420542,2425882,2428416,2426508,2418677,2403080,2377184,2337504,2282585,2213843,2150212,2096571,2042733,1985836,1928488,1875869,1826533,1780547,1735914,1688530,1641336,1600483,1563726,1530332,1502068,1479127,1470338,1475524,1487398,1508548,1531511,1550777,1568887,1589099,1610550,1630352,1650478,1671669,1692958,1707572,1681233,1702467,1717142
"Population ages 00-14, total",SP.POP.0014.TO,Denmark,DNK,1153390,1137969,1126062,1121560,1124546,1131012,1141337,1151179,1152938,1150601,1150110,1150212,1151163,1152423,1151275,1147303,1139677,1128145,1112243,1092365,1067950,1037222,1006211,980976,960547,943614,927182,909728,894520,883706,876121,873502,877914,885673,895570,910124,926979,943144,958733,973360,986459,997298,1005230,1010315,1012557,1012494,1011795,1010436,1008817,1005065,998764,991460,982787,974112,966642,961754,959677,958654,956659,952954,948702,946750,948011,948358
"Population ages 00-14, total",SP.POP.0014.TO,Djibouti,DJI,37917,39210,40722,42512,44650,47215,50067,53041,56124,59763,63980,68594,73745,79392,85917,93843,103338,114181,125698,136755,146299,153896,159847,165162,171168,178883,188705,200348,212761,228846,252333,273521,269862,263144,266756,267508,271415,276357,281671,286987,292420,298173,304101,309285,313471,317118,320598,323817,326503,329203,331930,334355,336682,338733,340154,340932,341143,340909,340466,340130,340032,340187,340653,341419
"Population ages 00-14, total",SP.POP.0014.TO,Dominica,DMA,26681,27399,27976,28533,29105,29776,30552,31390,32287,33195,33627,33416,33029,32647,32273,31906,31543,31168,30766,30311,29764,28895,27732,26620,25685,24901,24243,23710,23322,23105,23021,22953,22822,22662,22490,22287,22049,21768,21424,21007,20509,20028,19644,19291,18924,18532,18099,17614,17116,16654,16226,15875,15640,15316,15285,15226,14872,14711,14606,14559,14489,14383,14278,14162
"Population ages 00-14, total",SP.POP.0014.TO,Dominican Republic,DOM,1594742,1658312,1720702,1781035,1840810,1900167,1957947,2013290,2064550,2111951,2156477,2197527,2235408,2271634,2305589,2336796,2366260,2394432,2421338,2446989,2473217,2499764,2525626,2553558,2583377,2612530,2641079,2670072,2700366,2733765,2769659,2805429,2840222,2874105,2903517,2927405,2948338,2965225,2975981,2983525,2992294,3000546,3008905,3016671,3019538,3017901,3012254,3004276,2998097,2995684,2996580,2999310,3003401,3009834,3016546,3020984,3024322,3027902,3032034,3035703,3038478,3041808,3043932,3040456
"Population ages 00-14, total",SP.POP.0014.TO,Early-demographic dividend,EAR,405978022,418741028,431815471,445186308,458327144,470796452,483117531,495637306,508207042,520732067,533058632,545006556,556988202,569346800,581713798,593916422,606177625,618529392,630965709,643801518,657245092,671611352,686505255,701275675,716063194,730914300,745653376,760300627,774816220,789037584,803905443,817510981,830451246,842475630,852873489,862289162,871515623,879683571,886529377,892518549,898281563,904005490,909320193,914079589,918424312,922386622,926015255,929440471,932954282,936508404,940250359,944217842,947939380,951462225,954637148,957252936,959074681,960076175,960795185,961139136,960838193,960214382,959156378,957471321
"Population ages 00-14, total",SP.POP.0014.TO,East Asia & Pacific,EAS,413960291,412769653,418743973,433202450,447213567,459257722,471526114,481355169,491581923,503319463,514593894,526379917,535974775,544875061,555089869,564437607,572313900,574770485,569462196,563076708,558312292,554748690,553775597,551049750,545682845,540910106,537648681,536904042,537034535,538054734,541554829,545061874,547030779,548569025,548887724,547615762,544963888,540370663,535343745,530300855,524249938,516671221,506950144,496868072,486968320,476399439,468086063,463367025,460282493,458224444,456868027,456334011,457515487,459476358,461560259,463009192,464401785,466769043,467698986,466614941,463542014,458098275,451325465,443811442
"Population ages 00-14, total",SP.POP.0014.TO,East Asia & Pacific (excluding high income),EAP,365001236,363208139,368920115,383479857,397620643,409583835,421750442,431529230,441383193,452639251,463458754,474545627,483610087,492009331,501804564,510930428,518793625,521356084,516254395,510095815,505641533,502213343,501440032,499212704,494462093,490462143,488131109,488398062,489580719,491649282,496117126,500398229,503073204,505261300,506173392,505486350,503327918,499193716,494588251,489965763,484236061,476911021,467516624,457838039,448384242,438294503,430431833,426141397,423461146,421887846,421036273,421005235,422636697,425004706,427461946,429274808,430986804,433645208,434879016,434128218,431438625,426519070,420236771,413039141
"Population ages 00-14, total",SP.POP.0014.TO,East Asia & Pacific (IDA & IBRD countries),TEA,360595010,358755138,364414301,378877030,392888896,404719198,416684299,426174798,435753561,446782910,457406850,468317383,477241340,485572081,495333207,504430545,512285855,514864778,509812909,503716319,499324334,495971089,495305272,493200664,488563582,484673041,482438353,482800185,484048852,486130199,490581124,494811338,497406683,499504238,500326679,499574958,497380119,493222743,488605052,483981208,478265757,470970118,461619277,451984776,442569507,432530347,424736403,420526743,417931008,416441435,415682124,415749135,417466377,419904841,422418881,424274690,426021361,428706537,429956616,429215190,426528903,421606475,415318894,408117869
"Population ages 00-14, total",SP.POP.0014.TO,Ecuador,ECU,2035657,2105615,2177707,2248278,2316619,2385489,2455660,2526972,2599487,2672806,2746245,2819084,2891475,2963542,3034843,3105051,3173510,3239988,3305104,3369132,3432218,3495056,3557593,3619466,3680919,3742387,3804304,3865712,3925766,3984577,4041839,4097193,4149973,4199816,4247373,4292662,4335361,4375233,4412271,4446278,4476614,4503301,4527252,4549138,4568829,4586614,4603374,4620170,4637245,4654145,4671030,4688486,4703195,4709404,4706916,4699315,4688584,4677934,4673860,4670174,4659213,4644790,4625015,4599799
"Population ages 00-14, total",SP.POP.0014.TO,"Egypt, Arab Rep.",EGY,11390275,11700418,11982067,12254270,12547688,12869270,13200539,13524273,13835660,14138007,14435716,14732550,15035583,15344301,15662701,16002158,16361282,16740613,17146163,17582913,18046410,18519983,19009243,19534246,20087518,20661298,21251670,21849077,22448575,23022641,23541039,23997836,24420310,24806867,25132541,25411440,25661591,25887397,26089949,26271476,26430301,26577762,26721358,26867777,27033787,27241561,27502099,27802588,28145471,28545400,29039106,29635603,30312105,31070487,31885425,32715929,33458363,34094957,34687971,35218376,35689370,36112209,36472399,36770052
"Population ages 00-14, total",SP.POP.0014.TO,El Salvador,SLV,1269335,1310755,1351021,1389792,1429508,1470217,1512969,1557436,1602519,1647005,1688395,1726399,1762869,1798005,1831577,1863351,1892650,1920202,1946305,1970412,1990688,1998770,2012493,2041241,2069090,2096173,2121737,2147092,2179600,2216454,2251369,2283962,2314166,2323767,2311757,2295696,2276708,2257865,2241109,2226598,2213746,2200708,2184322,2163000,2137923,2109571,2078375,2048481,2018227,1983754,1947130,1910141,1873305,1836500,1800914,1767577,1736066,1707037,1681395,1659105,1641395,1626626,1610421,1593109
"Population ages 00-14, total",SP.POP.0014.TO,Equatorial Guinea,GNQ,103596,106213,108914,111689,114171,116390,118760,121336,124110,125964,126013,124779,122774,120413,118002,115732,113592,112455,112849,114724,118869,125436,133867,141265,147285,154062,161399,169134,177185,185522,194124,202985,212101,221459,230993,240626,250401,260363,270540,280638,292745,306192,318016,328557,338446,348594,359977,373259,388680,406174,425436,444065,461838,480675,500435,521014,542338,563812,584527,603721,620158,633624,644693,653676
"Population ages 00-14, total",SP.POP.0014.TO,Eritrea,ERI,420496,428680,437686,448180,459797,473553,489484,505681,522051,538613,555538,572805,590179,607693,625541,643856,662657,681789,701157,720840,740923,761599,783053,805373,828296,851376,874739,898558,923029,947604,971810,922166,870385,893102,917091,947977,981457,1008468,1033450,1056032,1076616,1099858,1125614,1154708,1186022,1214775,1241480,1266647,1293841,1319616,1342540,1360615,1373654,1387455,1399890,1410062,1419243,1426229,1432009,1435622,1437458,1440228,1444014,1449152
"Population ages 00-14, total",SP.POP.0014.TO,Estonia,EST,280800,286073,290093,292823,294242,295268,295327,294567,295657,297749,300083,303507,306596,308449,309140,309370,310220,312009,314385,316808,319823,323902,328396,332528,335652,338108,340766,343935,347150,349407,349228,345175,334398,320250,308180,297392,286814,276591,266232,255647,246351,238140,229659,220925,212735,206033,201480,199156,199067,200655,202857,204858,206225,207437,208827,210657,212526,214415,216326,218070,218916,219196,221293,222207
"Population ages 00-14, total",SP.POP.0014.TO,Eswatini,SWZ,162589,167371,172168,177126,181922,186472,191249,195997,200723,205870,211529,217718,224385,231470,239157,247518,256464,265827,275490,285484,295753,305261,314966,325602,336356,348344,360834,372911,385649,397858,409256,420923,432282,442382,448372,452003,455595,457629,457857,456783,455174,453078,450486,447635,444532,441439,438563,435790,432548,429060,426926,426069,425711,425693,425449,424746,423903,422887,421543,419728,418421,417641,416908,416054
"Population ages 00-14, total",SP.POP.0014.TO,Ethiopia,ETH,9297622,9509919,9736944,9990692,10276220,10585790,10894839,11223624,11593145,11985591,12403047,12844692,13294744,13735251,14143317,14525571,14943971,15286302,15588524,15858674,15985479,16423955,17085817,17523898,17890087,18340405,18874131,19564593,20431586,21318560,22207008,23281170,24350617,25263791,26195209,27115811,28036252,28990498,29967783,30944990,31885907,32788843,33666714,34520616,35370679,36218915,37046236,37875889,38700475,39480251,40228250,40954895,41645569,42295786,42926166,43570927,44244424,44933079,45653495,46430752,47243396,48066303,48889432,49720224
"Population ages 00-14, total",SP.POP.0014.TO,Euro area,EMU,67439587,68324176,68898217,69411184,69985861,70610016,71216016,71741041,72184941,72567823,72725185,72768832,72789819,72629308,72266705,71721794,71012183,70188230,69257107,68191249,67127310,66070631,64983638,63903310,62806289,61765609,60803701,59918487,59208998,58644982,58159541,57628399,57093024,56692698,56178581,55578154,54985341,54453408,53996365,53644810,53370419,53102896,52918598,52756920,52582766,52418617,52289507,52256493,52325384,52425030,52499919,52324831,52301751,52306635,52279309,52204216,52144414,52086750,52003080,51790871,51541938,51192467,50971171,50762375
"Population ages 00-14, total",SP.POP.0014.TO,Europe & Central Asia,ECS,187150384,190677321,192984067,194819420,196200982,197179796,197892473,198581274,199043155,199143469,198708509,198194361,197819693,197236886,196488327,195585911,194610205,193619247,192547816,191642549,191180556,190937042,190734972,190582879,190610469,190779888,190958129,191137816,191377367,191348192,190976647,190370058,189449884,188379919,186862485,184927299,182811921,180432595,177642500,174608283,171524962,168315644,165084453,162296436,160013523,158022608,156436304,155414005,155257210,155586570,156090464,156562011,157407411,158523904,159779773,161144943,162547241,163832052,164871229,165549129,165826850,165761205,164742745,164031658
"Population ages 00-14, total",SP.POP.0014.TO,Europe & Central Asia (excluding high income),ECA,43713273,45366992,46803282,48057252,49059744,49844380,50671813,51580931,52357918,52913100,53310420,53661968,53996988,54294410,54525872,54666326,54784657,54955048,55132978,55409662,55852682,56386081,57007414,57653771,58373430,59189406,59989737,60748251,61435622,61957626,62448280,62811608,63058600,63155877,62985437,62614660,62221509,61668664,60875662,59911169,58966886,57975205,56940949,55950413,55057329,54269093,53620715,53082745,52908930,52924898,53113344,53368984,53624142,54041368,54592040,55251216,55930915,56613998,57336515,58030296,58564921,59045045,58665219,58622962
"Population ages 00-14, total",SP.POP.0014.TO,Europe & Central Asia (IDA & IBRD countries),TEC,98531396,101166308,102918287,104238393,104950630,105157167,105105705,105110992,105010707,104649024,103995955,103385890,102969685,102585852,102266728,102017956,101934557,102006862,102140516,102584842,103473176,104588180,105790369,107022915,108411987,109835464,111158514,112368268,113391624,113982082,114118204,113966437,113462340,112708837,111678535,110356385,108862691,107057538,104775501,102154117,99441644,96616872,93716718,91224056,89234005,87518815,86157777,85204590,84950372,85115449,85442250,85962561,86706741,87679384,88801760,90047377,91292659,92424103,93388620,94184021,94694183,95070634,94259905,93835413
"Population ages 00-14, total",SP.POP.0014.TO,European Union,EUU,92445198,93350184,93783070,94097067,94469107,94815842,95080831,95305970,95456429,95549951,95383104,95143289,95034340,94858752,94648711,94400021,94058495,93575465,92881295,92019207,91172083,90322324,89314942,88180924,87041512,85986282,85012114,84082314,83258519,82450510,81609060,80670469,79714532,78917047,77993924,76943389,75883113,74886260,73953354,73110378,72246855,71393765,70629735,69978130,69356981,68805390,68368271,68087812,67994069,68021473,68050303,67857001,67812726,67807948,67779033,67718488,67699429,67724222,67724947,67568748,67329534,66907274,66375531,66041167
"Population ages 00-14, total",SP.POP.0014.TO,Faroe Islands,FRO,11188,11218,11239,11287,11367,11500,11638,11756,11899,12045,12128,12157,12188,12227,12272,12314,12331,12305,12241,12171,12100,12008,11892,11757,11636,11557,11509,11484,11490,11566,11556,11397,11199,10950,10643,10471,10484,10543,10654,10754,10848,10951,11048,11130,11154,11054,10886,10764,10697,10637,10552,10456,10353,10291,10271,10245,10306,10425,10541,10704,10840,10931,11000,11035
